"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Juneja S.","Juneja, Sandeep (7005250259)","7005250259","Optimizing Portfolio tail Measures: Asymptotics and efficient Simulation Optimization","2008","Proceedings - Winter Simulation Conference","","","4736122","621","628","7","0","10.1109/WSC.2008.4736122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60749097446&doi=10.1109%2fWSC.2008.4736122&partnerID=40&md5=2cab461b59d18ab0e197f059a5c2efc6","We consider a portfolio allocation problem where the objective function is a tail event such as probability of large portfolio losses.The dependence between assets is captured through multi-factor linear model.We address this optimization problem using two broad approaches. We show that a suitably scaled asymptotic of the probability of large losses can be developed that is a simple convex function of the allocated resources. Thus-asymptotically-portfolio allocation problem is approximated by a convex programming problem whose solution is easily computed and provides significant managerial insight. We then solve the original problem using sample average simulation optimization. Since rare events are involved-naive simulation may perform poorly. To remedy this-we introduce change-of-variable based importance sampling technique and develop a single change of measure that asymptotically optimally estimates tail probabilities across the entire space of feasible allocations. © 2008 IEEE.","","Optimization; Probability; Allocation problems; Asymptotics; Change of measures; Convex functions; Convex programming problems; Efficient simulations; Importance samplings; Multi factors; Objective functions; Optimization problems; Rare events; Sample averages; Simulation optimizations; Tail probabilities; Asymptotic analysis","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-60749097446"
"Peng F.; Tang K.; Chen G.; Yao X.","Peng, Fei (57196940189); Tang, Ke (35389743100); Chen, Guoliang (57161084400); Yao, Xin (7402530404)","57196940189; 35389743100; 57161084400; 7402530404","Population-based algorithm portfolios for numerical optimization","2010","IEEE Transactions on Evolutionary Computation","14","5","5439827","782","800","18","149","10.1109/TEVC.2010.2040183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957593400&doi=10.1109%2fTEVC.2010.2040183&partnerID=40&md5=8e692b7d2468312fad1e93312dce7dd2","In this paper, we consider the scenario that a population-based algorithm is applied to a numerical optimization problem and a solution needs to be presented within a given time budget. Although a wide range of population-based algorithms, such as evolutionary algorithms, particle swarm optimizers, and differential evolution, have been developed and studied under this scenario, the performance of an algorithm may vary significantly from problem to problem. This implies that there is an inherent risk associated with the selection of algorithms. We propose that, instead of choosing an existing algorithm and investing the entire time budget in it, it would be less risky to distribute the time among multiple different algorithms. A new approach named population-based algorithm portfolio (PAP), which takes multiple algorithms as its constituent algorithms, is proposed based upon this idea. PAP runs each constituent algorithm with a part of the given time budget and encourages interaction among the constituent algorithms with a migration scheme. As a general framework rather than a specific algorithm, PAP is easy to implement and can accommodate any existing population-based search algorithms. In addition, a metric is also proposed to compare the risks of any two algorithms on a problem set. We have comprehensively evaluated PAP via investigating 11 instantiations of it on 27 benchmark functions. Empirical results have shown that PAP outperforms its constituent algorithms in terms of solution quality, risk, and probability of finding the global optimum. Further analyses have revealed that the advantages of PAP are mostly credited to the synergy between constituent algorithms, which should complement each other either over a set of problems, or during different stages of an optimization process. © 2010 IEEE.","Algorithm portfolios; global optimization; metaheuristic algorithms; numerical optimization; population-based algorithms","Budget control; Global optimization; Heuristic methods; Optimization; Population statistics; Benchmark functions; Differential Evolution; Empirical results; Global optimum; Inherent risk; Meta heuristic algorithm; Migration scheme; Multiple algorithms; New approaches; Numerical optimizations; Optimization process; Particle swarm optimizers; Population-based algorithm; Search Algorithms; Solution quality; Time budget; Evolutionary algorithms","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-77957593400"
"Hochreiter R.","Hochreiter, Ronald (15059097100)","15059097100","An algorithm for evolutionary stochastic portfolio optimization with probabilistic constraints","2010","Mendel","","","","1","6","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904165518&partnerID=40&md5=b064614ce1ff12a0c9912f3658b2195f","In this paper, we extend an evolutionary stochastic portfolio optimization framework to include prob- abilistic constraints and show an algorithm to solve the resulting problems. Both the stochastic optimization modeling environment as well as the evolutionary optimization environment are ideally suited to integrate vari- ous types of probabilistic constraints. Numerical results using recent financial data substantiate the applicability of the presented approach.","Evolutionary algorithm; Portfolio optimization; Probabilistic constraints; Stochastic optimization","","Conference paper","Final","","Scopus","2-s2.0-84904165518"
"Al Janabi M.A.M.","Al Janabi, Mazin A.M. (24463149200)","24463149200","Risk Management in Trading and Investment Portfolios: An Optimisation Algorithm for Maximum Risk-budgeting Threshold","2012","Journal of Emerging Market Finance","11","2","","189","229","40","5","10.1177/0972652712454516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866562838&doi=10.1177%2f0972652712454516&partnerID=40&md5=30adad800c28b615c409bb91967e1686","The aim of this article is to bridge the gap in equity trading risk management literatures and particularly from the perspective of emerging and illiquid markets, such as in the context of the Gulf Cooperation Council (GCC) financial markets. In this article, we demonstrate a practical approach for the measurement and control of market risk exposure for financial trading portfolios that contain several illiquid equity securities during the unwinding (close-out) period. This approach is based on the renowned concept of Value-at-Risk (VaR) along with the development of an optimisation risk algorithm utilising matrix-algebra technique. Our thorough asset market risk modelling-algorithm can simultaneously handle VaR analysis under normal and severe market conditions, besides it takes into account the effects of illiquidity and short-sales of traded equity securities. In order to illustrate the proper use of VaR and stress-testing methods, real-world structured modelling techniques of trading risk management are presented for the GCC financial markets. To this end, comprehensive simulation case studies are accomplished with the objective of constructing a realistic framework for trading risk measurement and control in addition to the instigation of a risk optimisation algorithm-process for the computation of maximum authorised VaR risk-budgeting limits. © 2012 Institute for Financial Management and Research.","Economic capital; emerging markets; financial engineering; financial risk management; GCC financial markets; portfolio management; stress testing; value-at-risk","","Article","Final","","Scopus","2-s2.0-84866562838"
"Yang S.-C.; Chang T.-J.; Lin T.-L.; Chang K.-J.","Yang, Sang-Chin (54783894000); Chang, Tun-Jen (7404724863); Lin, Ting-Li (55467811800); Chang, Kuang-Jung (7404878390)","54783894000; 7404724863; 55467811800; 7404878390","A genetic algorithm for military project portfolio optimization problem","2009","Chung Cheng Ling Hsueh Pao/Journal of Chung Cheng Institute of Technology","38","1","","1","16","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655191741&partnerID=40&md5=55ea1559b4432e25f85422707086a3b7","The purpose of this paper is to develop a method of military project portfolio. In this paper we obtain the optimal allocation of military project portfolio under different risk measures by defining the Measure of Effectiveness (MOE), analyzing national defense investment amount and using heuristic genetic algorithm. The results of the numerical computation show that weighted allocation is regarded as the quantitative basis of the decision-making in national defense project. In addition, we also conduct four risk models such as mean-variance, semi-variance, mean absolute deviation and variance with skewness which includes cardinality constrained. These constraints intensify the compatibility of risk models in a portfolio problem. Through computation results indicate that the proposed heuristic genetic algorithm suits to different risk measures and provides a more flexible performance for solving the optimization problems of military project portfolio.","Genetic algorithm; Military project; MOE; Portfolio optimization; Risk model","Financial data processing; Genetic algorithms; Optimization; Problem solving; Cardinalities; Mean absolute deviations; Mean variance; Measure of effectiveness; Military project; MOE; National defense; Numerical computations; Optimal allocation; Optimization problems; Portfolio optimization; Project portfolio; Project portfolio optimization; Risk measures; Risk model; Risk assessment","Article","Final","","Scopus","2-s2.0-83655191741"
"Vazhayil J.P.; Balasubramanian R.","Vazhayil, Joy P. (36457314600); Balasubramanian, R. (7103128113)","36457314600; 7103128113","Optimization of India's electricity generation portfolio using intelligent Pareto-search genetic algorithm","2014","International Journal of Electrical Power and Energy Systems","55","","","13","20","7","13","10.1016/j.ijepes.2013.08.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884687843&doi=10.1016%2fj.ijepes.2013.08.024&partnerID=40&md5=22e97c95bcffce536d3221179e340f92","Optimization of power generation mix is a significant strategy of climate change mitigation for countries like India. This involves multi-objective optimization of cost reduction, emissions reduction and risk mitigation taking into account relevant constraints. We use a variant of portfolio optimization technique to generate India's 12th five year plan electricity generation portfolio taking into account the carbon costs. For fitness evaluation of a generation portfolio, we use levelized generation costs and a Comprehensive Risk Barrier Index (CRBI), the latter capturing the cost risks modulated by project implementation barrier indices. For constrained optimization, we develop a fast hybrid algorithm, namely, Intelligent Pareto-search Genetic Algorithm (IPGA), which systematically evolves successively efficient frontiers and finally converges to the global Pareto-optimal front. This algorithm combines non-dominated sorting and separate elite population, while utilizing dual mode search for faster convergence and cluster reduction strategy for enhancing diversity. Halting mechanisms have been proposed for local and global Pareto convergence. We apply this generalized algorithm to simulate the impact of carbon costs, risks and barriers on India's optimal generation portfolio. © 2013 Elsevier Ltd. All rights reserved.","Climate change mitigation in India; Mean variance portfolio optimization; Optimal generation mix; Pareto-search genetic algorithm","Carbon; Clustering algorithms; Constrained optimization; Costs; Electric generators; Emission control; Financial data processing; Multiobjective optimization; Pareto principle; Climate change mitigation; Electricity generation; Generalized algorithms; Mean-variance portfolio optimization; Non-dominated Sorting; Optimal generation; Portfolio optimization; Project implementation; Genetic algorithms","Article","Final","","Scopus","2-s2.0-84884687843"
"Zhou S.-J.; Li Y.-C.; Zhang Z.-D.","Zhou, Shu-Jing (35094860200); Li, Yan-Cang (55931499600); Zhang, Zhong-Da (25927747700)","35094860200; 55931499600; 25927747700","Self-adaptive ant algorithm for solving real estate portfolio optimization","2008","Proceedings of the 2008 International Symposium on Computational Intelligence and Design, ISCID 2008","1","","4725600","241","244","3","5","10.1109/ISCID.2008.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61349183214&doi=10.1109%2fISCID.2008.55&partnerID=40&md5=f47783c844869dd69593cf2698f22e0b","As efficient methods of reducing the investment risks, the real estate portfolio optimization methods and models have some defects. The information entropy was used as the risk measuring index, and a self-adaptive ant algorithm with a changing index was proposed to overcome the deficiency of the basic ant algorithm. Then the improved algorithm was introduced into the real estate portfolio. And the application results indicated that this method has better convergence, stability and robustness in solving the combinatorial optimization problems. © 2008 IEEE.","","Artificial intelligence; Combinatorial optimization; Financial data processing; Intelligent control; Investments; Ant algorithms; Combinatorial op-timization problems; Efficient methods; Improved algorithms; Information entropies; Investment risks; Portfolio optimizations; Real estates; Self-adaptive; Stability and robustness; Adaptive algorithms","Conference paper","Final","","Scopus","2-s2.0-61349183214"
"Maguire P.; O'Sullivan D.; Moser P.; Dunne G.","Maguire, Phil (19934202800); O'Sullivan, Dónal (55496747100); Moser, Philippe (23061361300); Dunne, Gavin (55498219800)","19934202800; 55496747100; 23061361300; 55498219800","Risk-adjusted portfolio optimisation using a parallel multi-objective evolutionary algorithm","2012","2012 IEEE Conference on Computational Intelligence for Financial Engineering and Economics, CIFEr 2012 - Proceedings","","","6327805","293","300","7","4","10.1109/CIFEr.2012.6327805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869767973&doi=10.1109%2fCIFEr.2012.6327805&partnerID=40&md5=99f0b5d93a2ef1306c68a0aa7b075392","In this article we describe the use of a multi-objective evolutionary algorithm for portfolio optimisation based on historical data for the S&P 500. Portfolio optimisation seeks to identify manageable investments that provide a high expected return with relatively low risk. We developed a set of metrics for qualifying the risk/return characteristics of a portfolio's historical performance and combined this with an island model genetic algorithm to identify optimised portfolios. The algorithm was successful in selecting investment strategies with high returns and relatively low volatility. However, although these solutions performed well on historical data, they were not predictive of future returns, with optimised portfolios failing to perform above chance. The implications of these findings are discussed. © 2012 IEEE.","","Artificial intelligence; Economics; Expected return; Historical data; Historical performance; Investment strategy; Island model genetic algorithm; Multi objective evolutionary algorithms; Portfolio optimisation; Risk-adjusted; Optimization","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84869767973"
"Xue H.-G.; Zhang C.; Hu C.-P.; Xu C.-X.","Xue, Hong-Gang (8986170000); Zhang, Chuan (57199504250); Hu, Chun-Ping (57198697356); Xu, Cheng-Xian (7404181444)","8986170000; 57199504250; 57198697356; 7404181444","Portfolio optimization model and branch-bound algorithm under block trading","2011","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","31","9","","1617","1627","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054836838&partnerID=40&md5=324ee1e738db37fcd42765e0c003eac5","In this paper, we consider the portfolio optimal problem under block trading. As the decrease of marginal transaction cost under block trading, we establish the mean-variance portfolio optimization model and the corresponding algorithm by means of fit transaction cost function with linear and concave form. Computational results are presented by considering the stocks involved in Hang Seng Index to show that: The efficient frontier under block trading is between that with linear transaction cost and without transaction cost; The investment risk can be eliminated by portfolio diversification, but the effect of that is dilute under block trading; In terms of linear transaction cost, the greater the transaction cost under block trading, the higher the portfolio concentration.","Block trading; Branch-bound algorithm; Diversification effect; Linear and concave transaction cost; Portfolio size","Algorithms; Costs; Financial data processing; Mathematical models; Optimization; Block trading; Branch-bound algorithm; Diversification effect; Portfolio size; Transaction cost; Commerce","Article","Final","","Scopus","2-s2.0-80054836838"
"Bailey D.H.; De Prado M.L.","Bailey, David H. (7402156369); De Prado, Marcos López (55195922300)","7402156369; 55195922300","An open-source implementation of the critical-line algorithm for portfolio optimization","2013","Algorithms","6","1","","169","196","27","13","10.3390/a6010169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884334689&doi=10.3390%2fa6010169&partnerID=40&md5=80780a4704be2f4b9f4c701db7376445","Portfolio optimization is one of the problems most frequently encountered by financial practitioners. The main goal of this paper is to fill a gap in the literature by providing a well-documented, step-by-step open-source implementation of Critical Line Algorithm (CLA) in scientific language. The code is implemented as a Python class object, which allows it to be imported like any other Python module, and integrated seamlessly with pre-existing code. We discuss the logic behind CLA following the algorithm's decision flow. In addition, we developed several utilities that support finding answers to recurrent practical problems. We believe this publication will offer a better alternative to financial practitioners, many of whom are currently relying on generic-purpose optimizers which often deliver suboptimal solutions. The source code discussed in this paper can be downloaded at the authors' websites (see Appendix).© 2013 by the authors; licensee MDPI, Basel, Switzerland.","Constrained efficient frontier; Kuhn-Tucker conditions; Portfolio optimization; Portfolio selection; Quadratic programming; Risk aversion; Turning point","Codes (symbols); Constrained optimization; Financial data processing; High level languages; Open source software; Quadratic programming; Efficient frontier; Kuhn-Tucker condition; Portfolio optimization; Portfolio selection; Risk aversion; Turning points; Optimization","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84884334689"
"Drezewski R.; Obrocki K.; Siwik L.","Drezewski, Rafał (35567097300); Obrocki, Krystian (24179390100); Siwik, Leszek (14054857500)","35567097300; 24179390100; 14054857500","Comparison of multi-agent co-operative co-evolutionary and evolutionary algorithms for multi-objective portfolio optimization","2009","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5484 LNCS","","","223","232","9","6","10.1007/978-3-642-01129-0_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650663512&doi=10.1007%2f978-3-642-01129-0_26&partnerID=40&md5=77a814b48fd0e13fe8301a4e324d1ff7","Co-evolutionary techniques makes it possible to apply evolutionary algorithms in the cases when it is not possible to formulate explicit fitness function. In the case of social and economic simulations such techniques provide us tools for modeling interactions between social or economic agents-especially when agent-based models of co-evolution are used. In this paper agent-based versions of multi-objective co-operative co-evolutionary algorithms are applied to portfolio optimization problem. The agent-based algorithms are compared with classical versions of SPEA2 and NSGA2 multi-objective evolutionary algorithms. © Springer-Verlag Berlin Heidelberg 2009.","","Computer science; Financial data processing; Function evaluation; Multiobjective optimization; Agent based; Agent-based model; Co-evolution; Co-evolutionary; Co-evolutionary algorithm; Co-evolutionary techniques; Economic agents; Economic simulation; Fitness functions; Modeling interactions; Multi objective; Multi objective evolutionary algorithms; Multi-Agent; Multi-objective portfolio optimization; Portfolio optimization; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-67650663512"
"Yu L.; Wang S.; Lai K.K.","Yu, Lean (8983968500); Wang, Shouyang (35195168500); Lai, Kin Keung (55433716400)","8983968500; 35195168500; 55433716400","Multi-attribute portfolio selection with genetic optimization algorithms","2009","INFOR","47","1","","23","30","7","9","10.3138/infor.47.1.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649106950&doi=10.3138%2finfor.47.1.23&partnerID=40&md5=9a2320db822c209ed34a976d26879df4","The traditional portfolio theory first proposed by Markowitz only provides a solution to capital allocation to a pre-determined set of assets, regardless of asset quality. To remedy this gap, a multi-attribute asset quality analysis, before asset allocation, is proposed. Thus a two-stage multi-attribute portfolio selection framework that considers asset quality, as well as asset allocation, is formulated. For solving the proposed portfolio selection problem, this study applies genetic algorithms for multi-attribute portfolio selection and analysis. In the first stage, i.e. asset quality evaluation, a genetic algorithm is used to identify good quality assets in terms of asset ranking. In the asset allocation stage, allocation of capital to individual high-quality assets is optimized using another genetic algorithm based on Markowitz's mean-variance theory. Through the two-stage asset evaluation and allocation process, an optimal portfolio can be determined in the context of considering both multiple asset return attributes and risk exposures. Experimental results reveal that the proposed multi-attribute portfolio selection framework provides a very feasible and useful tool to assist investors in planning their investment strategy and constructing their portfolios. © 2009 INFOR Journal.","Asset allocation; Asset quality evaluation; Genetic algorithm; Mean-variance model; Multi-attribute portfolio selection","Genetic algorithms; Investments; Optimization; Risk management; Strategic planning; Asset allocation; Asset quality evaluation; Mean variance model; Multi-attributes; Portfolio selection; Quality evaluation; Quality control","Article","Final","","Scopus","2-s2.0-73649106950"
"Yadav S.R.; Muddada R.R.M.R.; Tiwari M.K.; Shankar R.","Yadav, Salik R. (16317993500); Muddada, Raja Ram M.R. (25958270000); Tiwari, M.K. (35427952100); Shankar, Ravi (10638891800)","16317993500; 25958270000; 35427952100; 10638891800","An algorithm portfolio based solution methodology to solve a supply chain optimization problem","2009","Expert Systems with Applications","36","4","","8407","8420","13","11","10.1016/j.eswa.2008.10.076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60249094678&doi=10.1016%2fj.eswa.2008.10.076&partnerID=40&md5=96e4fa2e7e0051ce81ae7173c09e84b3","This paper introduces the algorithm portfolio concept to solve a combinatorial optimization problem pertaining to a supply chain. The supply chain problem is modeled with capacity constraints and demand variations over different time periods to minimize the total supply chain configuration cost. The algorithm portfolio is implemented over various problem instances to inspect and alleviate the computational expensiveness of a solution strategy. A bunch of five algorithms are utilized hereby viz. AIS, GA, Endosymbiotic Optimization, PSO and Psychoclonal algorithm. The observations reflect the appropriateness and effect of algorithm portfolios over the adopted supply chain, and viability over other optimization problems. © 2008 Elsevier Ltd. All rights reserved.","Algorithm portfolio; Platform and independent supply chain; Supply chain optimization","Algorithms; Combinatorial mathematics; Combinatorial optimization; Competition; Optimization; Particle swarm optimization (PSO); Supply chains; Algorithm portfolio; Capacity constraints; Combinatorial op-timization problems; Demand variations; Endosymbiotic; Optimization problems; Platform and independent supply chain; Problem instances; Psychoclonal algorithms; Solution methodologies; Solution strategies; Supply chain configurations; Supply chain optimization; Time periods; Supply chain management","Article","Final","","Scopus","2-s2.0-60249094678"
"Minsky B.; Obradovic M.; Tang Q.; Thapar R.","Minsky, Bernard (41862069100); Obradovic, M. (57196611996); Tang, Q. (7201631927); Thapar, Rishi (41862506700)","41862069100; 57196611996; 7201631927; 41862506700","Fund of hedge funds portfolio optimisation using a global optimisation algorithm","2011","Lecture Notes in Electrical Engineering","90 LNEE","","","419","430","11","0","10.1007/978-94-007-1192-1_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959766997&doi=10.1007%2f978-94-007-1192-1_34&partnerID=40&md5=19c5ee0d385ab2e2020b205c4a35a34b","Portfolio optimisation for a Fund of Hedge Funds (""FoHF"") has to address the asymmetric, non-Gaussian nature of the underlying returns distributions. Furthermore, the objective functions and constraints are not necessarily convex or even smooth. Therefore traditional portfolio optimisation methods such as mean-variance optimisation are not appropriate for such problems and global search optimisation algorithms could serve better to address such problems. Also, in implementing such an approach the goal is to incorporate information as to the future expected outcomes to determine the optimised portfolio rather than optimise a portfolio on historic performance. In this paper, we consider the suitability of global search optimisation algorithms applied to FoHF portfolios, and using one of these algorithms to construct an optimal portfolio of investable hedge fund indices given forecast views of the future and our confidence in such views. © 2011 Springer Science+Business Media B.V.","Direct search; Fund of hedge funds optimisation; Global search optimisation; PGSL portfolio optimisation","Algorithms; Electrical engineering; Fences; Global optimization; Direct search; Global optimisation; Global search; Hedge Funds; Mean variance; Non-Gaussian; Objective functions; Optimal portfolios; Optimisations; PGSL portfolio optimisation; Portfolio optimisation; Returns distribution; Optimization","Article","Final","","Scopus","2-s2.0-79959766997"
"Ponsich A.; Jaimes A.L.; Coello C.A.C.","Ponsich, Antonin (56002738000); Jaimes, Antonio Lopez (24341053400); Coello, Carlos A. Coello (7003514400)","56002738000; 24341053400; 7003514400","A survey on multiobjective evolutionary algorithms for the solution of the portfolio optimization problem and other finance and economics applications","2013","IEEE Transactions on Evolutionary Computation","17","3","6191315","321","344","23","255","10.1109/TEVC.2012.2196800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878398490&doi=10.1109%2fTEVC.2012.2196800&partnerID=40&md5=57958b266cd9e5fb9e987437e67eb8b3","The coinciding development of multiobjective evolutionary algorithms (MOEAs) and the emergence of complex problem formulation in the finance and economics areas has led to a mutual interest from both research communities. Since the 1990s, an increasing number of works have thus proposed the application of MOEAs to solve complex financial and economic problems, involving multiple objectives. This paper provides a survey on the state-of-the-art of research, reported in the specialized literature to date, related to this framework. The taxonomy chosen here makes a distinction between the (widely covered) portfolio optimization problem and the other applications in the field. In addition, potential paths for future research within this area are identified. © 1997-2012 IEEE.","Economics; evolutionary algorithms (EAs); finance; multiobjective evolutionary algorithms (MOEAs); multiobjective optimization","Economics; Finance; Financial data processing; Multiobjective optimization; Research; Surveys; Complex problems; Economic problems; Evolutionary algorithms (EAs); Multiobjective evolutionary algorithms; Multiple objectives; Portfolio optimization; Research communities; Evolutionary algorithms","Article","Final","","Scopus","2-s2.0-84878398490"
"Bradshaw N.-A.; Walshaw C.; Ierotheou C.; Parrott A.K.","Bradshaw, Noël-Ann (55147571900); Walshaw, Chris (6701686520); Ierotheou, Constantinos (55910849900); Parrott, A. Kevin (55666559800)","55147571900; 6701686520; 55910849900; 55666559800","A Multi-Objective Evolutionary Algorithm for portfolio optimisation","2009","Adaptive and Emergent Behaviour and Complex Systems - Proceedings of the 23rd Convention of the Society for the Study of Artificial Intelligence and Simulation of Behaviour, AISB 2009","","","","27","32","5","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859018633&partnerID=40&md5=dd65868476f9941eaa3c40d70816957d","The use of heuristic evolutionary algorithms to address the problem of portfolio optimisation has been well documented. In order to decide which assets to invest in and how much to invest, one needs to assess the potential risk and return of different portfolios. This problem is ideal for solving using a Multi-Objective Evolutionary Algorithm (MOEA) that maximises return and minimises risk. We are working on a new MOEA loosely based on Zitzler's Strength Pareto Evolutionary Algorithm (SPEA2) [20] using Value at Risk (VaR) as the risk constraint. This algorithm currently uses a dynamic population in order to overcome the problem of loosing solutions. We are also investigating a dynamic diversity and density operator.","","Artificial intelligence; Optimization; Value engineering; Density operators; Dynamic population; Multi objective evolutionary algorithms; Portfolio optimisation; Potential risks; Risk constraints; Strength pareto evolutionary algorithm; Value at Risk; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-84859018633"
"Shaikh R.A.; Abbas A.","Shaikh, Roshan A. (57206170294); Abbas, Ahmed (57198028789)","57206170294; 57198028789","Genetic algorithm and MS solver for portfolio optimization under exogenous influence","2009","2009 International Conference on Computer and Electrical Engineering, ICCEE 2009","1","","5380182","555","558","3","3","10.1109/ICCEE.2009.173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950513412&doi=10.1109%2fICCEE.2009.173&partnerID=40&md5=b996cc28903fd24fe4c2d62499adbb2a","This study comprises of the Genetic Algorithm (GA) approach to optimize a constrained portfolio for maximum return with an acceptable risk for Karachi Stock Exchange (KSE) assets. The portfolio selection model used in this paper is based on the classical Markowitz mean-variance theory enhanced with exogenous influence of floor and ceiling. The results are compared with MS Excel Solver (Solver). It is found that the model works well under the influence of a high probability of local minima. © 2009 IEEE.","Computational intelligence; Genetic algorithm; Markowitz mean-variance theory; Operations research","Artificial intelligence; Electrical engineering; Financial data processing; Operations research; Spreadsheets; Computational intelligence; High probability; Local minimums; Markowitz; Mean variance; MS Excel; Portfolio optimization; Portfolio selection models; Stock exchange; Genetic algorithms","Conference paper","Final","","Scopus","2-s2.0-77950513412"
"Ke J.-C.; Hao Y.; Qiao J.","Ke, Jin-Chuan (35109421500); Hao, Yi (36863141000); Qiao, Jiao (25638746400)","35109421500; 36863141000; 25638746400","Stochastic simulation and VaR modeling for asset portfolio optimization","2008","Xitong Fangzhen Xuebao / Journal of System Simulation","20","19","","5315","5319","4","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55649096285&partnerID=40&md5=eb10975eda6b11147b5c1d9938a3e250","The objective of portfolio is to optimize the asset allocation and maximize the expected return by balancing the profit and risk. A study on the asset portfolio optimization was proposed based on Monte Carlo simulation and VaR (Value at Risk) model. The Monte Carlo simulation approach was used to make the stock price prediction and calculate the portfolio risk from the standard deviation and correlation coefficient. The VaR constraint was introduced into the model to optimize asset allocation and have the portfolio return maximized under certain risk level. Through the case study of stock price trend and statistic test of the distribution assumption, it was found that the model was satisfactory to the investment decision.","Optimization; Portfolio; Return; Risk; Stochastic simulation; VaR","","Article","Final","","Scopus","2-s2.0-55649096285"
"Ranković V.; Drenovak M.; Stojanović B.; Kalinić Z.; Arsovski Z.","Ranković, Vladimir (15064848700); Drenovak, Mikica (36658948500); Stojanović, Boban (22635898000); Kalinić, Zoran (54889020400); Arsovski, Zora (26429086900)","15064848700; 36658948500; 22635898000; 54889020400; 26429086900","The mean-Value at Risk static portfolio optimization using genetic algorithm","2014","Computer Science and Information Systems","11","1","","89","109","20","19","10.2298/CSIS121024017R","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893355862&doi=10.2298%2fCSIS121024017R&partnerID=40&md5=b18fa5b0172c3af94ac049f29d2f98d9","In this paper we solve the problem of static portfolio allocation based on historical Value at Risk (VaR) by using genetic algorithm (GA). VaR is a predominantly used measure of risk of extreme quantiles in modern finance. For estimation of historical static portfolio VaR, calculation of time series of portfolio returns is required. To avoid daily recalculations of proportion of capital invested in portfolio assets, we introduce a novel set of weight parameters based on proportion of shares. Optimal portfolio allocation in the VaR context is computationally very complex since VaR is not a coherent risk metric while number of local optima increases exponentially with the number of securities. We presented two different single-objective and a multiobjective technique for generating mean-VaR efficient frontiers. Results document good risk/reward characteristics of solution portfolios while there is a trade-off between the ability to control diversity of solutions and computation time.","Genetic algorithm; Mean-VaR efficient frontier; Static portfolio optimization; Value at Risk","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84893355862"
