"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Solving Portfolio Selection Problem Using Whale Optimization Algorithm","F. Hasan; F. Ahmad; M. Shahid; A. Khan; G. Ahmad","Dept. of CS & Engg., Koneru Lakshmaiah Education Foundation, Guntur, India; Engineering, Workday Inc., Plesantan, California, U.S.A.; Department of Commerce, Aligarh Muslim University, Aligarh, India; Department of Commerce, Aligarh Muslim University, Aligarh, India; Department of Commerce, Aligarh Muslim University, Aligarh, India","2022 3rd International Conference on Computation, Automation and Knowledge Management (ICCAKM)","22 Dec 2022","2022","","","1","5","Researchers have concentrated on exploring effective solution methods for solving complex portfolio selection problems, such as metaheuristic algorithms. Traditional methodologies may not be sufficient to identify an optimum solution for large-scale complex problems in an acceptable amount of time. Therefore, in this paper, a portfolio optimization scheme using a whale optimization algorithm (WOA) has been developed to optimize the expected return and risk of the constructed portfolio. WOA is a nature-inspired approach that mimics the haunting process of the sea whale. The bubble-net hunting approach served as the basis for the algorithm’s design. To show the efficacy of proposed model, an experimental study has been presented along with a performance comparison by Genetic Algorithm (GA) using a standard benchmark dataset, i.e., DAX 100 of the German stock exchange from 1992 to 1997. Performance evaluation confirms the superior performance of WOA over GA.","","978-1-6654-5319-6","10.1109/ICCAKM54721.2022.9990079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990079","Portfolio Selection Problem;Portfolio Constraints;Portfolio optimization;Metaheuristic Optimization;Whale Optimization Algorithm","Performance evaluation;Metaheuristics;MIMICs;Whales;Whale optimization algorithms;Knowledge management;Stock markets","","","","28","IEEE","22 Dec 2022","","","IEEE","IEEE Conferences"
"Research on Real Estate Portfolio Optimization Model Based on Improved Niche Genetic Algorithm","Y. Huang; C. Tian; W. Fang","Department of Economy and Management, North China Electric Power University, Baoding, China; Department of Economy and Management, North China Electric Power University, Baoding, China; Department of Economy and Management, North China Electric Power University, Baoding, China","2009 International Symposium on Information Engineering and Electronic Commerce","28 Jul 2009","2009","","","375","378","The investment on real estate companies has a direct impact on the competitiveness of their future markets; therefore there is an urgent need for investment portfolio optimization. The paper analyzes the characteristics of various types of real estate investment in the next run, using niche genetic algorithm with improved the probability of crossover and mutation. In addition, adding the budget constraints in the classic portfolio model, so that the process of calculating is more to meet realistic requirements. Finally, an example is used to prove the method is effective.","","978-0-7695-3686-6","10.1109/IEEC.2009.84","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5175141","niche genetic algorithm (NGA);multiple-object optimization;portfolio","Portfolios;Genetic algorithms;Investments;Biological cells;Evolution (biology);Genetic mutations;Power generation economics;Fuzzy control;Genetic engineering;Power engineering and energy","","","","12","IEEE","28 Jul 2009","","","IEEE","IEEE Conferences"
"Multiobjective evolutionary algorithm portfolio: Choosing suitable algorithm for multiobjective optimization problem","S. Y. Yuen; X. Zhang","Department of Electronic Engineering, City University of Hong Kong, Hong Kong, China; Department of Electronic Engineering, City University of Hong Kong, Hong Kong, China","2014 IEEE Congress on Evolutionary Computation (CEC)","22 Sep 2014","2014","","","1967","1973","The concept of algorithm portfolio has a long history. Recently this concept draws increasing attention from researchers, though most of the researches have concentrated on single objective optimization problems. This paper is intended to solve multiobjective optimization problems by proposing a multiple evolutionary algorithm portfolio. Differing from previous approaches, each component algorithm in our portfolio method has an independent population and the component algorithms do not communicate in any way with each other. Another difference is that our algorithm introduces no control parameters. This parameter-less characteristic is desirable as each additional parameter requires independent parameter tuning or control. A novel score calculation method, based on predicted performance, is used to assess the contributions of component algorithms during the optimization process. Such information is used by an algorithm selector which decides, for each generation, which algorithm to use. Experimental results show that our portfolio method outperforms individual algorithms in the portfolio. Moreover, it outperforms the AMALGAM method.","1941-0026","978-1-4799-1488-3","10.1109/CEC.2014.6900470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900470","","Prediction algorithms;Portfolios;Sociology;Statistics;Algorithm design and analysis;Optimization;Evolutionary computation","","9","","23","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Trading Strategy Hyper-parameter Optimization using Genetic Algorithm","G. -A. Deac; D. -T. Iancu","Faculty of Automatic Control and Computers, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Automatic Control and Computers, University Politehnica of Bucharest, Bucharest, Romania","2023 24th International Conference on Control Systems and Computer Science (CSCS)","17 Aug 2023","2023","","","121","127","This paper presents the application of a genetic algorithm (GA) for optimizing a simple moving average convergence divergence (MACD) crossover trading strategy and an ensemble moving average convergence divergence with relative strength index (MACD-RSI) on Nvidia stock with daily data. The optimization of trading strategies is a computationally heavy task, and the genetic algorithm is a probabilistic and heuristic searching algorithm that is inspired Darwin’s theory of natural selection which is typically used for hyperparameter tuning applications. The GA is used to identify the best set of parameters for the MACD and MACD-RSI strategies, which are widely used technical indicators in the field of trading. The paper provides a detailed explanation of the GA design, indicators, metrics, general architecture, experiments and results.","2379-0482","979-8-3503-1339-0","10.1109/CSCS59211.2023.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10214709","genetic algorithm;hyper-parameters;optimization;trading;strategy","Measurement;Profitability;Sociology;Probabilistic logic;Task analysis;Statistics;Optimization","","","","30","IEEE","17 Aug 2023","","","IEEE","IEEE Conferences"
"Intelligent Optimization Algorithm Based on Big Data in Behavioral Finance of Securities Investment","X. Zhang","Department of Mathematics, Jinan University, GuangZhou, GuangDong, China","2021 International Conference on Artificial Intelligence, Big Data and Algorithms (CAIBDA)","28 Sep 2021","2021","","","248","253","Optimal calculation of securities investment is a hot and difficult problem. At present, the research mainly focuses on genetic algorithm, quadratic programming, ant colony algorithm and so on, and the results are relatively many. But these algorithms still have some shortcomings. Intelligent algorithm is a general term for a class of algorithms. It means that human beings are inspired by the collective behaviors of various organisms in nature and find better optimal strategies by imitating these intelligent behaviors. With the progress of science and technology, some of the traditional optimization method has been unable to effectively solve complex problems in reality, especially the NP hard problem. The scholars began to adopt more population of swarm intelligence optimization algorithm is used to, and showed the significant advantage. In the field of engineering application and scientific research, Swarm intelligence algorithm is paid more and more attention by scholars. This paper mainly studies the analysis of intelligent optimization algorithm based on big data in behavioral finance of securities investment. In this paper, after the accumulation and degradation of the collected original data, the optimization calculation is carried out on the condition that the portfolio income remains unchanged. The results of this paper show that compared with genetic algorithm and differential evolution algorithm, the latter result is more suitable for the investment model discussed in this paper.","","978-1-6654-2490-5","10.1109/CAIBDA53561.2021.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545964","Big Data;Intelligent Optimization Algorithm;Securities Investment;Behavioral Finance","Degradation;Finance;Big Data;Security;Particle swarm optimization;Stock markets;Optimization","","2","","12","IEEE","28 Sep 2021","","","IEEE","IEEE Conferences"
"Applying An Adaptive Multi-Population Optimization Algorithm to Enhance Machine Learning Models for Computational Finance","Z. Li; V. Tam; L. K. Yeung; Z. Li","Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong, P.R.C.; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong, P.R.C.; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong, P.R.C.; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong, P.R.C.","2020 IEEE 22nd International Conference on High Performance Computing and Communications; IEEE 18th International Conference on Smart City; IEEE 6th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","26 Apr 2021","2020","","","1322","1329","Developing effective machine learning models to maximize the generalization capability of the learned data patterns while minimizing the risk of overfitting and also the ultimate computational costs of the trained models are very challenging yet significant tasks in many real-world applications. Due to the high complexity and huge amount of data involved in financial applications, the critical task of constructing appropriate machine learning models will surely become more challenging. Typically, data scientists or researchers may employ various optimizers to enhance the feature selection and/or tuning of the involved hyper-parameters in order to improve the overall performance of the obtained learning models. In this paper, a very flexible optimizer, namely the Adaptive Multi-Population optimization Algorithm (AMPOA), utilizing multiple populations with different search strategies is considered in which two of its variants are carefully evaluated with the other state-of-theart optimizers to enhance the feature selection process of the commonly used K-nearest-neighbor classifier approach on a set of 12 well-known benchmark problems. The first variant named the BAMPOA-R approach employs a rounding technique to determine on the binary decision of choosing an input feature or not for the underlying classifier while the other BAMPOA- T approach utilizes a specific transform function to decide on the feature selection. To demonstrate the feasibility of the proposed optimizer for financial applications, the BAMPOA- R approach with the best performance in the previous test is integrated with the Support Vector Regression (SVR) as the BAMPOA-R-SVR algorithm to compare against other regressors on 10 major financial market indexes. The evaluation results clearly demonstrate the remarkable performance of the proposed AMPOA approach to enhance the prediction performances of the underlying machine learning models through more vigorous feature selection for numerous real-world applications including those challenging problems in computational finance.","","978-1-7281-7649-9","10.1109/HPCC-SmartCity-DSS50907.2020.00170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407936","binary optimization;feature selection;machine learning;metaheuristic algorithms;stock market prediction","Adaptation models;Machine learning algorithms;Computational modeling;Machine learning;Predictive models;Prediction algorithms;Feature extraction","","2","","25","IEEE","26 Apr 2021","","","IEEE","IEEE Conferences"
"Research on Optimization of Efficient and Scalable Mutli-Raft Consensus Algorithm for Supply Chain Finance","N. Du; D. Yan; Z. Liang; Y. Huang; T. Liu; C. Zhong","Institute of Big Data and Artificial Intelligence, Southwest Forestry University, Kunming, China; Xishan Branch of Kunming Tobacco Company, Kunming, China; Institute of Big Data and Artificial Intelligence, Southwest Forestry University, Kunming, China; Institute of Big Data and Artificial Intelligence, Southwest Forestry University, Kunming, China; Easy-Visible Supply Chain Management Company, Kunming, China; Institute of Big Data and Artificial Intelligence, Southwest Forestry University, Kunming, China","2022 IEEE International Conference on Sensing, Diagnostics, Prognostics, and Control ( SDPC)","18 Oct 2022","2022","","","342","347","Aiming at the performance bottleneck problem and insufficient scalability caused by consensus algorithm in supply chain financing application scenarios, this paper proposes a Multi-Raft consensus algorithm for improving the Raft consensus algorithm. In the Multi-Raft consensus algorithm, we introduce the contractor election algorithm. Contractor nodes are selected by the KNN algorithm in machine learning. The optimized Multi-Raft consensus algorithm is applied to the Easy-Visible supply chain financing platform for testing. By analyzing the experimental results, it can be seen that the optimized Multi-Raft consensus algorithm has significant improvements in throughput, delay and scalability compared with the original Raft consensus algorithm. The research in this paper solves the problems of performance bottleneck and low scalability of the consensus algorithm of the alliance chain in practical applications. A solution is proposed for the large-scale implementation of the enterprise-level alliance chain. It has certain engineering value and application value.","","978-1-6654-6986-9","10.1109/SDPC55702.2022.9915826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915826","blockchain;impossible triangle;Raft consensus algorithm;Multi-Raft consensus algorithm","Machine learning algorithms;Scalability;Voting;Supply chains;Consensus algorithm;Machine learning;Throughput","","","","22","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"OptFolio - a simulation optimization system for project portfolio planning","April; Glover; Kelly","OptTek Systems, Inc., Boulder, CO, USA; OptTek Systems, Inc., Boulder, CO, USA; OptTek Systems, Inc., Boulder, CO, USA","Proceedings of the 2003 Winter Simulation Conference, 2003.","30 Jan 2004","2003","1","","301","309 Vol.1","OptFolio is a new portfolio optimization software system simultaneously addresses financial return goals, catastrophic loss avoidance, and performance probability. The innovations embedded in the system enable users to confidently design effective plans for achieving financial goals, employing accurate analysis based on real data. State-of-the-art technology integrates simulation and metaheuristic optimization techniques and a new surface methodology based on linear programming into a global system that guides a series of evaluations to reveal truly optimal investment scenarios. Portfolio analysis tools are designed to aid senior management in the development and analysis of portfolio strategies, by giving them the capability to assess the impact on the corporation of various investment decisions. In this paper we will present new techniques that increase the flexibility of optimization tools and deepen the types of portfolio analysis that can be carried out. We include examples applied to energy, pharmaceutical, and information technology portfolios.","","0-7803-8131-9","10.1109/WSC.2003.1261437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1261437","","Portfolios;Investments;Analysis of variance;Pharmaceutical technology;Information analysis;Finance;Costs;Software systems;Performance loss;Technological innovation","","5","2","4","IEEE","30 Jan 2004","","","IEEE","IEEE Conferences"
"A Nested Simulation Optimization Approach for Portfolio Selection","Y. Lin; E. Zhou; A. Megahed","Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; IBM Research - Almaden, San Jose, CA, USA","2020 Winter Simulation Conference (WSC)","29 Mar 2021","2020","","","3093","3104","We consider the problem of portfolio selection with risk factors, where the goal is to select the portfolio position that minimizes the value at risk (VaR) of the expected portfolio loss. The problem is computationally challenging due to the nested structure caused by the risk measure VaR of the conditional expectation, along with the optimization over a discrete and finite solution space. We develop a nested simulation optimization approach to solve this problem. In the outer layer, we adapt the optimal computing budget allocation (OCBA) approach to sequentially allocate the simulation budget of the outer-layer to different portfolio positions. In the inner layer, we propose a new sequential procedure to efficiently estimate the VaR of the expected loss. We present a numerical example that shows that our approach achieves a higher probability of correct selection under the same computing budget compared to three other methods.","1558-4305","978-1-7281-9499-8","10.1109/WSC48552.2020.9384023","National Science Foundation; Air Force Office of Scientific Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9384023","","Reactive power;Adaptation models;Computational modeling;Numerical models;Resource management;Portfolios;Optimization","","1","","23","IEEE","29 Mar 2021","","","IEEE","IEEE Conferences"
"Fusing Economic Indicators for Portfolio Optimization - A Simulation-Based Approach","J. Yu; T. Le; K. Chang; S. Guharay","Quantitative Research Division, Folio Financial, Inc., Mclean, USA; SEOR Department, George Mason University, Fairfax, USA; SEOR Department, George Mason University, Fairfax, USA; SEOR Department, George Mason University, Fairfax, USA","2019 22th International Conference on Information Fusion (FUSION)","27 Feb 2020","2019","","","1","8","Portfolio optimization and quantitative risk management have been extensively studied since the 1990s, and attracted even more attention after the financial crisis in 2008. Such a disastrous event required portfolio managers to better manage the risk and return trade-off when building their clients' portfolios. With that said, the advancement of machine-learning algorithms and computing resources helps portfolio managers explore rich information by incorporating the macro-economy conditions into their investment strategies and optimizing their portfolio performance in a timely manner. In this paper, we present a simulation-based approach by fusing eleven macroeconomic factors using Neural Networks (NN) to build an Economic Factor-based Predictive Model (EFPM). Then, we combine it with Copula-GARCH simulation model and the Mean-Conditional Value at Risk (Mean-CVaR) framework to derive an optimal portfolio comprised of six index funds. Empirical test on the achieved portfolio is conducted on an out-of-sample dataset utilizing a rolling-horizon approach. Finally, we compare its performance against the three benchmark portfolios over a twelve-year period (01/2007 – 12/2018). The results indicate that the proposed EFPM-based asset allocation strategy outperforms the three alternatives on many common metrics, including annualized return, 99% VaR, and Sharpe ratio.","","978-0-9964527-8-6","10.23919/FUSION43075.2019.9011330","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9011330","CVaR;GARCH;Pair Copula;Simulation based optimization;Portfolio Optimization;Risk Management","Portfolios;Indexes;Reactive power;Predictive models;Optimization;Economics;Data models","","","","30","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Fireworks algorithm applied to constrained portfolio optimization problem","N. Bacanin; M. Tuba","Faculty of Computer Science, Megatrend University Belgrade, Belgrade, Serbia; Faculty of Computer Science, Megatrend University Belgrade, Belgrade, Serbia","2015 IEEE Congress on Evolutionary Computation (CEC)","14 Sep 2015","2015","","","1242","1249","This paper presents implementation of the fireworks algorithm for portfolio optimization problem with constraints. Fireworks algorithm is a relatively new nature-inspired meta-heuristic which emulates the process of fireworks' explosion. We adapted fireworks algorithm for solving constrained portfolio selection problem that extends classical mean-variance portfolio model by adding additional constraints. Comparative analysis was conducted with three other swarm intelligence algorithms and three variants of genetic algorithm from the literature, using the same problem formulation and the same test data. Results show that the fireworks algorithm has great potential for tackling portfolio optimization problem since it performed better than mentioned algorithms considering all performance indicators.","1941-0026","978-1-4799-7492-4","10.1109/CEC.2015.7257031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7257031","portfolio optimization;fireworks algorithm;swarm intelligence;nature inspired algorithms","Portfolios;Sparks;Optimization;Explosions;Algorithm design and analysis;Particle swarm optimization;Linear programming","","49","","30","IEEE","14 Sep 2015","","","IEEE","IEEE Conferences"
"A Novel Hybrid ICA-FA Algorithm for Multiperiod Uncertain Portfolio Optimization Model Based on Multiple Criteria","W. Chen; D. Li; Y. -J. Liu","School of Information, Capital University of Economics and Business, Beijing, China; School of Information, Capital University of Economics and Business, Beijing, China; School of Business Administration, South China University of Technology, Guangzhou, China","IEEE Transactions on Fuzzy Systems","30 Apr 2019","2019","27","5","1023","1036","This paper deals with a multiperiod portfolio selection problem in an uncertain investment environment, in which the returns of securities are assumed to be uncertain variables and determined by experts' subjective evaluation. Based on uncertain theory, we present a novel multiperiod multiobjective mean-variance-skewness model by considering multiple realistic investment constraints such as transaction cost, bounds on holdings, cardinality, etc. For the proposed solution, we first apply a weighted max-min fuzzy goal programming approach to convert the proposed multiobjective programming model into a single-objective one. After that, we design a novel hybrid of an imperialist competitive algorithm (ICA) and a firefly algorithm (FA), termed ICA-FA, to solve it. Finally, we provide a numerical example to demonstrate the effectiveness of the proposed model and corresponding algorithm.","1941-0034","","10.1109/TFUZZ.2018.2829463","National Natural Science Foundation of China(grant numbers:71720107002); Beijing Municipal Education Commission Foundation of China(grant numbers:KM201810038001); Special Research Funds from the Quantitative Finance Research Center of School of Information; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8345150","Imperialist competitive algorithm-firefly algorithm (ICA-FA) algorithm;multiperiod portfolio multiple criteria decision-making;optimization;uncertain variables","Portfolios;Security;Investment;Uncertainty;Optimization;Programming;Numerical models","","40","","72","IEEE","23 Apr 2018","","","IEEE","IEEE Journals"
"Portfolio Optimization Based on Funds Standardization and Genetic Algorithm","Y. -H. Chou; S. -Y. Kuo; Y. -T. Lo","National Chi Nan University, Puli, Taiwan; National Chi Nan University, Puli, Taiwan; National Chi Nan University, Puli, Taiwan","IEEE Access","7 Nov 2017","2017","5","","21885","21900","When investing in the stock market, the first problem and one of paramount importance which investors have to face is making the proper stock selection. Selecting the stocks that simultaneously offer high return and low risk is a difficult problem that is worth investigating. However, the traditional risk calculation based on the modern portfolio theory (MPT) of portfolios has some defects. The MPT method requires the calculations of every relationship between each pair of stocks in the portfolio, entailing high computation complexity, which grows exponentially with the increased number of stocks. Besides, the traditional calculation is unable to calculate the coefficient of variation, and merely considers the relationship between each pair of stocks, so it cannot accurately assess portfolio risk. Therefore, this paper proposes a novel method, funds standardization, and utilizes it to represent the portfolio return and calculate portfolio risk. The fluctuation of portfolio funds standardization shows not only the relationships between each pair of stocks, but also the interactions among all stocks. Hence, utilizing funds standardization can accurately assess portfolio risk and completely represent the mood swings of investors. Compared with the traditional method, the proposed method significantly reduces the computation complexity because the complexity does not increase when the portfolios stock number increases. We combine the genetic algorithm, Sharpe ratio and funds standardization to find the optimal portfolio. In addition, we utilize the sliding window to avoid the over-fitting problem, which is common in this field, and test the effect of all kinds of training and testing periods. The experimental results show that the portfolio can spread the risk effectively, and that the portfolio risk can be assessed accurately by utilizing the funds standardization. Comparing with the traditional method, our method can identify the optimal portfolio efficiently and establish a portfolio that has lower risk and stable return.","2169-3536","","10.1109/ACCESS.2017.2756842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8049455","Portfolio;Sharpe ratio;stock selection;funds standardization;low volatility;Genetic algorithm (GA);modern portfolio theory","Portfolios;Standardization;Genetic algorithms;Stock markets;Investment;Neural networks;Timing","","35","","45","OAPA","25 Sep 2017","","","IEEE","IEEE Journals"
"Modelling cost into a genetic algorithm-based portfolio optimization system by seeding and objective sharing","C. Aranha; H. Iba","University of Tokyo, Japan; University of Tokyo, Japan","2007 IEEE Congress on Evolutionary Computation","7 Jan 2008","2007","","","196","203","Portfolio optimization by GA is a problem that has recently received a lot of attention. However, most works in this area have so far ignored the effects of cost on Portfolio Optimization, and haven't directly addressed the problem of portfolio management (continuous optimization of a portfolio over time). In this work, we use the Euclidean Distance between the portfolio selection in two consecutive time periods as measure of cost, and the objective sharing method to balance the goals of maximizing returns and minimizing distance over time. We also improve the GA method by adding genetic material from previous runs into the new population (seeding). We experiment our method on historical monthly data from the NASDAQ and NIKKEI indexes, and obtain a better result than pure GA, defeating the index under non-bubble market conditions.","1941-0026","978-1-4244-1339-3","10.1109/CEC.2007.4424472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4424472","","Cost function;Genetics;Portfolios;Resource management;Investments;Optimization methods;Euclidean distance;Evolutionary computation;Security;Time measurement","","23","","10","IEEE","7 Jan 2008","","","IEEE","IEEE Conferences"
"Upgraded Firefly Algorithm for Portfolio Optimization Problem","M. Tuba; N. Bacanin","Faculty of Computer Science, Megatrend University, Belgrade, Serbia; Faculty of Computer Science, Megatrend University, Belgrade, Serbia","2014 UKSim-AMSS 16th International Conference on Computer Modelling and Simulation","23 Feb 2015","2014","","","113","118","Portfolio selection is a well-known intractable research problem in the area of economics and finance. There are many definitions of the problem that by introduction of additional constraints try to make it closer to the real-word conditions. Firefly algorithm is one of the latest swarm intelligence metaheuristics that was very successfully applied to both, unconstrained and constrained hard optimization problems. In this paper we adjusted firefly algorithm to the portfolio optimization problem and since the results were not completely satisfactory, we modified it so that better exploitation/exploration balance was achieved. We tested our improved algorithm on unconstrained portfolio problem, as well as on the problem formulation with cardinality and bounding constraints. We used official benchmark data sets from the OR-Library, and included data from Hang Seng in Hong Kong, DAX 100 in Germany and FTSE 100 in UK with 31, 85 and 89 assets respectively. Our upgraded algorithm proved to be uniformly better than the original one. Additionally, we compared it on the same data set to five other optimization metaheuristics from the literature and our upgraded firefly algorithm was better in most cases measured by all performance indicators.","","978-1-4799-4922-9","10.1109/UKSim.2014.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7046048","portfolio optimization;firefly algorithm;swarm intelligence;nature inspired algorithms;constrained optimization","Portfolios;Optimization;Sociology;Statistics;Security;Tin;Genetic algorithms","","22","","31","IEEE","23 Feb 2015","","","IEEE","IEEE Conferences"
"An artificial bee colony algorithm for the cardinality-constrained portfolio optimization problems","A. H. L. Chen; Y. -C. Liang; C. -C. Liu","Department of Finance, Taoyuan Innovation Institute of Technology, Taoyuan, Taiwan; Department of Industrial Engineering and Management, Yuan Ze University, Taoyuan, Taiwan; Department of Industrial Engineering and Management, Yuan Ze University, Taoyuan, Taiwan","2012 IEEE Congress on Evolutionary Computation","2 Aug 2012","2012","","","1","8","When conventional methods have become insufficient to handle computationally complicated problems, nature-inspired optimization methods were proposed and widely accepted in recent years. In this work, we investigate the trade-off between risk and return in a cardinality-constrained portfolio optimization problem and applied an artificial bee colony (ABC) method as the solution approach. It would be the first attempt of ABC on this application. The proposed ABC algorithm employs a hybrid encoding that mixes integer and real variables to fulfill the characteristic of the portfolio optimization problem. The generation of solutions involves three groups of bees: employed bees, onlooker and scouts that balance the effects of exploration and exploitation. The study tests the performance of the proposed ABC algorithm on four global stock market indexes provided by the OR-Library. Computational results of ABC are compared with simulated annealing (SA), tabu search (TS), and variable neighborhood search (VNS) methods in the literature. Evidences indicate that ABC performs better in terms of diversity, convergence, and effectiveness among all three test data sets; therefore, ABC demonstrates its potential on portfolio optimization.","1941-0026","978-1-4673-1509-8","10.1109/CEC.2012.6252920","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6252920","Portfolio Optimization;Artificial Bee Colony;Metaheuristic","Portfolios;Mathematical model;Equations;Optimization;Stock markets;Algorithm design and analysis;Indexes","","16","","32","IEEE","2 Aug 2012","","","IEEE","IEEE Conferences"
"Constrained Portfolio Optimization by Hybridized Bat Algorithm","I. Strumberger; N. Bacanin; M. Tuba","Faculty of Computer Science, John Naisbitt University, Belgrade, Serbia; Faculty of Computer Science, John Naisbitt University, Belgrade, Serbia; Faculty of Computer Science, John Naisbitt University, Belgrade, Serbia","2016 7th International Conference on Intelligent Systems, Modelling and Simulation (ISMS)","16 Mar 2017","2016","","","83","88","This paper presents the application of the hybridized bat algorithm to the constrained portfolio optimization problem which is a hard optimization problem suitable for stochastic optimization metaheuristics. Bat algorithm is a recent member of the group of nature-inspired algorithms. Hybridization between bat and artificial bee colony metaheuristics was adapted for solving portfolio problem with constraints that extend classical mean-variance portfolio selection formulation. To test the robustness of our hybridized approach, a comparative analysis with other swarm intelligence algorithms, as well as with three variants of genetic algorithm was performed. All algorithms included in comparative analysis were tested on the same portfolio model using the same data set. Results show that proposed hybridized bat algorithm has a great potential for tackling constrained portfolio problem.","2166-0670","978-1-5090-0665-6","10.1109/ISMS.2016.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877194","bat algorithm;constrained portfolio optimization problem;swarm intelligence;bio-inspired algorithms","Portfolios;Optimization;Mathematical model;Algorithm design and analysis;Particle swarm optimization;Sociology;Statistics","","15","","38","IEEE","16 Mar 2017","","","IEEE","IEEE Conferences"
"An Effective Approach for the Diverse Group Stock Portfolio Optimization Using Grouping Genetic Algorithm","C. -H. Chen; C. -Y. Lu; T. -P. Hong; J. C. -W. Lin; M. Gaeta","Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National University of Kaohsiung, Kaohsiung, Taiwan; Department of Computing, Mathematics, and Physics, Western Norway University of Applied Sciences, Bergen, Norway; Dipartimento di Ingegneria dell’Informazione ed Elettrica e Matematica Applicata, University of Salerno, Fisciano, Italy","IEEE Access","1 Nov 2019","2019","7","","155871","155884","Finding useful portfolios that could be a portfolio of trading strategy or a stock portfolio from financial datasets is always an attractive research topic due to the nature of financial markets. Because investors always want an approach that can continually provide various portfolios, the issue of group stock portfolio optimization (GSPO) has been raised and the algorithms to obtain a group stock portfolio (GSP) have also been described in the past. A GSP divides the whole set of stocks into several stock groups, and the stocks in a group are exchangeable in investment. Thus, when investors are not satisfied with a suggested stock, they can select another stock from the same group to replace the original one. However, the industry diversity of stocks within a group is not regarded in the existing literatures. In this paper, an algorithm for dealing with the diverse group stock portfolio optimization (DGSPO) is proposed to obtain a diverse group stock portfolio (DGSP). The proposed algorithm is based on the group genetic algorithm with the chromosome representation and the fitness function designed for the purpose of finding a good DGSP. Especially, a factor called group diversity is designed to diversify stocks from different industries and is considered in the fitness evaluation. Another factor considers cash dividend is also applied to keep companies with good quality in the portfolio for increasing the profit of a DGSP. Two real financial datasets are used in the experiments to verify the effectiveness of the proposed approach.","2169-3536","","10.1109/ACCESS.2019.2949055","Ministry of Science and Technology of the People's Republic of China(grant numbers:MOST 106-2221-E-032-049-MY2,MOST 107-2218-E-390-004,MOST 108-2221-E-032-037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880553","Stock portfolio;group stock portfolio;grouping genetic algorithm;grouping problem;group diversity","Portfolios;Optimization;Genetic algorithms;Biological cells;Industries;Automobiles;Investment","","13","","40","CCBY","23 Oct 2019","","","IEEE","IEEE Journals"
